category:description
1:Ingenieros, licenciados y personal de alta dirección.
2:Ingenieros técnicos, Peritos y Ayudantes titulados.
3:Jefes Administrativos y de Taller.
4:Ayudantes sin titulación.
5:Oficiales administrativos.
6:Subalternos.
7:Auxiliares administrativos.
8:Oficiales de primera y segunda.
9:Oficiales de tercera y especialistas.
10:Peones.
11:Trabajadores menores de 18 años.
